Month,Year,State,PWSTATE,STMIN,TIPMIN
1,2009,11,23,7.25,3.63
2,2009,11,23,7.25,3.63
3,2009,11,23,7.25,3.63
4,2009,11,23,7.25,3.63
5,2009,11,23,7.25,3.63
6,2009,11,23,7.25,3.63
7,2009,11,23,7.25,3.63
8,2009,11,23,7.25,3.63
9,2009,11,23,7.25,3.63
10,2009,11,23,7.5,3.75
11,2009,11,23,7.5,3.75
12,2009,11,23,7.5,3.75
1,2010,11,23,7.5,3.75
2,2010,11,23,7.5,3.75
3,2010,11,23,7.5,3.75
4,2010,11,23,7.5,3.75
5,2010,11,23,7.5,3.75
6,2010,11,23,7.5,3.75
7,2010,11,23,7.5,3.75
8,2010,11,23,7.5,3.75
9,2010,11,23,7.5,3.75
10,2010,11,23,7.5,3.75
11,2010,11,23,7.5,3.75
12,2010,11,23,7.5,3.75
1,2011,11,23,7.5,3.75
2,2011,11,23,7.5,3.75
3,2011,11,23,7.5,3.75
4,2011,11,23,7.5,3.75
5,2011,11,23,7.5,3.75
6,2011,11,23,7.5,3.75
7,2011,11,23,7.5,3.75
8,2011,11,23,7.5,3.75
9,2011,11,23,7.5,3.75
10,2011,11,23,7.5,3.75
11,2011,11,23,7.5,3.75
12,2011,11,23,7.5,3.75
1,2012,11,23,7.5,3.75
2,2012,11,23,7.5,3.75
3,2012,11,23,7.5,3.75
4,2012,11,23,7.5,3.75
5,2012,11,23,7.5,3.75
6,2012,11,23,7.5,3.75
7,2012,11,23,7.5,3.75
8,2012,11,23,7.5,3.75
9,2012,11,23,7.5,3.75
10,2012,11,23,7.5,3.75
11,2012,11,23,7.5,3.75
12,2012,11,23,7.5,3.75
1,2013,11,23,7.5,3.75
2,2013,11,23,7.5,3.75
3,2013,11,23,7.5,3.75
4,2013,11,23,7.5,3.75
5,2013,11,23,7.5,3.75
6,2013,11,23,7.5,3.75
7,2013,11,23,7.5,3.75
8,2013,11,23,7.5,3.75
9,2013,11,23,7.5,3.75
10,2013,11,23,7.5,3.75
11,2013,11,23,7.5,3.75
12,2013,11,23,7.5,3.75
1,2014,11,23,7.5,3.75
2,2014,11,23,7.5,3.75
3,2014,11,23,7.5,3.75
4,2014,11,23,7.5,3.75
5,2014,11,23,7.5,3.75
6,2014,11,23,7.5,3.75
7,2014,11,23,7.5,3.75
8,2014,11,23,7.5,3.75
